Person Title,Person Buyer Segment,sub_category,broad_category
Technical Leader,Technology End User,Technical Leader,Technology End User
Phd In Civil/Structural Engineering At Sejong University,Junk/Invalid,,
na,Junk/Invalid,,
Customer Success Lead,Sales End User,Customer Success Lead - Bi,Data End User
Chief Engineer,Technology Executive,Adh Engineer Chief,Technology End User
Web Developer,Technology End User,Web Developer,Technology End User
Software Engineer,Technology End User,Software Engineer,Technology End User
It Sole Proprietor,Other Decision Maker,It Sole Proprietor,Information End User
Engineer,Technology End User,Engineer,Technology End User
Senior Engineer/Student,Technology End User,,
Facilities Engineering Director,Operations Decision Maker,Director Engineering Facilities,Information Decision Maker
System Administrator,Technology End User,System Administrator,Technology End User
Photography,Other End User,Photography Team Lead,Technology End User
Product Manager - II,Product End User,Product Manager - Ii,Product End User
Software Developer,Technology End User,Software Developer,Technology End User
Back-end developer,Technology End User,Back-End Developer,Technology End User
Development Engineer (AI),Technology End User,Development Engineer (Ai),Technology End User
Software Engineer,Technology End User,Software Engineer,Technology End User
it specialist,Information End User,It Specialist,Information End User
Devops,Technology End User,Devops,Technology End User
Web Developer,Technology End User,Web Developer,Technology End User
CEO and Founder,Other Decision Maker,Founder,Technology End User
OPC,Junk/Invalid,Solutions Opc,Operations End User
Ai Developer,Data End User,Ai Developer,Data End User
CEO and Founder,Other Decision Maker,Founder,Technology End User
Manager Fleet Command Center,Operations Decision Maker,Cio Command Center Manager,Information Decision Maker
Education,Other End User,"""Director, Non Profit & Education Solutions""",Information Decision Maker
Software Engineer,Technology End User,Software Engineer,Technology End User
Product Lead,Product End User,Product Lead,Product End User
DATA ENGINEER,Technology End User,Data Engineer,Technology End User
Software Engineer,Technology End User,Software Engineer,Technology End User
Manager - Security Solutions,Security End User,Manager - Security Solutions,Security End User
AI Engineer,Technology End User,Ai Engineer,Technology End User
Bridge Intern -Financial Fraud Management Unit,Finance End User,P&L Unit Management,Information Decision Maker
Frontend Software Engineer,Technology End User,Frontend Software Engineer,Technology End User
Frontend Developer,Technology End User,Frontend Developer,Technology End User
